No.;Stock Code VDC;Stock Code VDC Claim;Picture;Item Description;Mnemonic;Part Number;Type of Item;Supplier;Suupplier Address;UOI; Price Damage Core ; Price Product  Genuine ; Price Total ;Time Guarantee;Claim Methode;JENIS SC
614;2020758;;;SINGLE ENDED RING WRENCH;HEYCO;HY-00840002480;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
615;2020774;;;COMBINED SETS OF SOCKETS;HEYCO;HY-00030301083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;SET;;;;1;CWP;GENUINE
616;2002871;;;SOCKET 1/2 INCH;HEYCO;50600783;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
617;2002889;;;SOCKET 1/2 INCH;HEYCO;50600883;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
618;2051167;;;"SOCKET WRENCH 3/4"" x 38 mm";HEYCO;HY-00100003880;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
619;2048197;;;"SOCKET WRENCH 6 PT 3/4"" x 22 mm";HEYCO;HY-00100602280;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
620;2036812;;;COMBINED TOOL;HEYCO;HY-00049000500;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
621;2050631;;;CONVERTER;HEYCO;HY-00100150080;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
622;2027100;;;ALLEN KEY 17MM;HEYCO;HY-01341017030;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
623;2027118;;;ALLEN KEY SOCKET;HEYCO;HY-00050310783;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
624;2050797;;;SOCKET SET;HEYCO;HY-00027351083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;SET;;;;1;CWP;GENUINE
625;2037547;;;DRAIN PLUG WRANCHES;HEYCO;HY-00495000080;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
626;2029114;;;SCREWDRIVER 4550 VDE 7PCS (+,-);HEYCO;4550000033;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;SET;;;;1;CWP;GENUINE
627;2027662;;;"HEX. SOCKET SCREWDRIVER 1/2""x3/8""-L2:12";HEYCO;50313883;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
